# Fichier de points — Diagramme de Voronoï
# Format : x,y  (une paire par ligne)
# Lignes commençant par '#' et lignes vides ignorées.
#
# Points concentrés pour maximiser les régions finies

# ── Zone centrale ──────────────────────────────────────────────
5.0,5.0
4.2,5.8
5.9,4.1
4.7,4.3
5.3,6.2
6.1,5.5

# ── Zone Nord ──────────────────────────────────────────────────
3.5,8.0
4.5,8.5
5.5,8.2
6.5,8.0
5.0,7.5

# ── Zone Sud ───────────────────────────────────────────────────
3.5,2.0
4.5,1.8
5.5,2.2
6.5,2.0
5.0,2.8

# ── Zone Ouest ─────────────────────────────────────────────────
2.0,6.5
1.8,5.0
2.2,3.5
2.8,5.0

# ── Zone Est ───────────────────────────────────────────────────
8.0,6.5
8.2,5.0
7.8,3.5
7.2,5.0

# ── Points intérieurs supplémentaires ─────────────────────────
3.5,6.5
6.5,6.5
3.5,3.5
6.5,3.5
3.0,5.0
7.0,5.0
5.0,3.5
5.0,6.5
4.0,7.0
6.0,7.0
4.0,3.0
6.0,3.0
